12410,-121.8,7.1,-7.5,8.1,-16.8,-9.6
-121.8,12530,39.1,10.3,1.4,13.0,4.4
7.1,39.1,12210,-73.4,-2.2,-11.7,7.3
-7.5,10.3,-73.4,12320,-94.7,-20.6,-82.2
8.1,1.4,-2.2,-94.7,12480,93.3,-2.8
-16.8,13.0,-11.7,-20.6,93.3,12630,48.5
-9.6,4.4,7.3,-82.2,-2.8,48.5,12440
